x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Roll_component_true_future,Roll_component_hybrid,Roll_component_arx,Roll_component_naive,Roll_component_cv,Phase5B_PredictionFile,w_naive_recent_error,w_cv_recent_error,w_arx_recent_error,weights_frozen_by_detection,RecentErrorAdaptivePredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_RecentErrorPhase5B,RecentErrorAdaptiveRecoveredFuture_Roll_Phase5B,AttackedError_Roll_RecentErrorPhase5B,OriginalV9RecoveredError_Roll_RecentErrorPhase5B,RecentErrorAdaptiveRecoveredError_Roll_Phase5B
0.0,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0985497534275055,0.0985497534275055,0.0929901156574487,0.0055596377700567,0.0055596377700567,0.010307,0,0.0,0.0055596377700567,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.091432124376297,0.0929901156574487,0.0921776953967805,0.0985497534275055,0.0899964645504951,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.3999726263983942,0.3000116868424525,0.3000156867591534,False,0.0940719494373057,0.0985497534275055,0.0985497534275055,0.0,0.0,0.0
0.09996,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.091432124376297,0.091432124376297,0.0868056654930114,0.0046264588832855,0.0046264588832855,0.010307,0,0.0,0.0050930483266711,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0873657017946243,0.0868056654930114,0.0866565143127876,0.091432124376297,0.0843144953250885,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.4599600155933041,0.2700168980188148,0.27002308638788125,False,0.08822071928990727,0.091432124376297,0.091432124376297,0.0,0.0,0.0
0.19992,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0873657017946243,0.0873657017946243,0.084722527116537,0.0026431746780873,0.0026431746780873,0.010307,0,0.0,0.0042764237771432,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0868997052311897,0.084722527116537,0.0865167354649754,0.0873657017946243,0.0832992792129516,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.513950614571213,0.24302027382011743,0.24302911160866947,False,0.08617115513247764,0.0873657017946243,0.0873657017946243,0.0,0.0,0.0
0.29988,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0868997052311897,0.0868997052311897,0.0865968074649572,0.0003028977662325,0.0003028977662325,0.010307,0,0.0,0.0032830422744155,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0877327546477317,0.0865968074649572,0.0876638073865071,0.0868997052311897,0.0864337086677551,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.5625427693920013,0.2187231952377577,0.21873403537024097,False,0.08696491612173314,0.0868997052311897,0.0868997052311897,0.0,0.0,0.0
0.39984,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0877327546477317,0.0877327546477317,0.0882742367684839,-0.0005414821207521,0.0005414821207521,0.010307,0,0.0,0.0027347302436828,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0856118351221084,0.0882742367684839,0.0885849605632929,0.0877327546477317,0.0885658040642737,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.6062763950634977,0.19685562858110536,0.1968679763553969,False,0.08806451716829883,0.0877327546477317,0.0877327546477317,0.0,0.0,0.0
0.4998,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0856118351221084,0.0856118351221084,0.0842332374304532,0.0013785976916552,0.0013785976916552,0.010307,0,0.0,0.0025087081516782,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0804608315229415,0.0842332374304532,0.0813982452152552,0.0856118351221084,0.0834909155964851,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.6456388291361924,0.1771743833994912,0.17718678746431643,False,0.08448947005362877,0.0856118351221084,0.0856118351221084,0.0,0.0,0.0
0.600593,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0804608315229415,0.0804608315229415,0.077112679183483,0.0033481523394585,0.0033481523394585,0.010307,0,0.0,0.0026286287499325,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0863452181220054,0.077112679183483,0.0741953257791963,0.0804608315229415,0.0753098279237746,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.6810672638293463,0.15946047719504688,0.15947225897560668,False,0.07864027567640525,0.0804608315229415,0.0804608315229415,0.0,0.0,0.0
0.700553,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0863452181220054,0.0863452181220054,0.0901700694113969,-0.0038248512893915,0.0038248512893915,0.010307,0,0.0,0.0027781565673649,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.0907528400421142,0.0901700694113969,0.0904495230146579,0.0863452181220054,0.0922296047210692,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.7129540669160275,0.14351735380196903,0.1435285792820034,False,0.08777881476563337,0.0863452181220054,0.0863452181220054,0.0,0.0,0.0
0.800513,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.0907528400421142,0.0907528400421142,0.0936177942901849,-0.0028649542480706,0.0028649542480706,0.010307,0,0.0,0.00278780075411,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.098801165819168,0.0936177942901849,0.0891927705594325,0.0907528400421142,0.095160461962223,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.7416527094862156,0.12916820885272362,0.1291790816610607,False,0.09112063632773439,0.0907528400421142,0.0907528400421142,0.0,0.0,0.0
0.900473,baseline_05_mixed_maneuver,Roll,bias,0.041228,0,0.098801165819168,0.098801165819168,0.1040325775742529,-0.0052314117550849,0.0052314117550849,0.010307,0,0.0,0.0030321618542075,0,0,0,W10_N3_mean1x,10,3,1.0,1909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_05_mixed_maneuver_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.1058796271681785,0.1040325775742529,0.1005262453545194,0.098801165819168,0.1068494915962217,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_05_mixed_maneuver_ATT_trained_hybrid_prediction_outputs.csv,0.7674821188128937,0.1162535314925008,0.11626434969460546,False,0.0999373773637017,0.098801165819168,0.098801165819168,0.0,0.0,0.0
