x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Roll_component_true_future,Roll_component_hybrid,Roll_component_arx,Roll_component_naive,Roll_component_cv,Phase5B_PredictionFile,w_naive_recent_error,w_cv_recent_error,w_arx_recent_error,weights_frozen_by_detection,RecentErrorAdaptivePredictedFuture_Roll_Phase5B,OriginalV9RecoveredFuture_Roll_RecentErrorPhase5B,RecentErrorAdaptiveRecoveredFuture_Roll_Phase5B,AttackedError_Roll_RecentErrorPhase5B,OriginalV9RecoveredError_Roll_RecentErrorPhase5B,RecentErrorAdaptiveRecoveredError_Roll_Phase5B
0.0,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0676333531737327,0.0676333531737327,0.0690457716965473,-0.0014124185228145,0.0014124185228145,0.006821,0,0.0,0.0014124185228145,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.073538914322853,0.0690457716965473,0.0679105373143143,0.0676333531737327,0.0703473165631294,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.3996052573605261,0.3000366875140009,0.3003580551254729,False,0.06853089624849827,0.0676333531737327,0.0676333531737327,0.0,0.0,0.0
0.09996,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.073538914322853,0.073538914322853,0.07659050373653,-0.0030515894136769,0.0030515894136769,0.006821,0,0.0,0.0022320039682457,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.075905717909336,0.07659050373653,0.0740329585184373,0.073538914322853,0.0794444754719733,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.4595038348238551,0.2700446026404441,0.27045156253570074,False,0.0752672942613935,0.073538914322853,0.073538914322853,0.0,0.0,0.0
0.19992,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.075905717909336,0.075905717909336,0.0765704710342919,-0.0006647531249558,0.0006647531249558,0.006821,0,0.0,0.0017095870204824,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0796469673514366,0.0765704710342919,0.073312474567908,0.075905717909336,0.078272521495819,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.5135146514907758,0.24304924023886562,0.2434361082703586,False,0.07584967865599006,0.075905717909336,0.075905717909336,0.0,0.0,0.0
0.29988,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0796469673514366,0.0796469673514366,0.0817705832105668,-0.0021236158591301,0.0021236158591301,0.006821,0,0.0,0.0018130942301444,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0820918306708335,0.0817705832105668,0.0809119230418362,0.0796469673514366,0.0833882167935372,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.5621348085963318,0.21875110381016938,0.2191140875934989,False,0.08074253940847341,0.0796469673514366,0.0796469673514366,0.0,0.0,0.0
0.39984,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0820918306708335,0.0820918306708335,0.0834749241119707,-0.0013830934411371,0.0013830934411371,0.006821,0,0.0,0.0017270940723429,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0817621201276779,0.0834749241119707,0.0828951395780275,0.0820918306708335,0.0845366939902304,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.6058971071164568,0.19688181496369753,0.19722107791984553,False,0.08273160924707394,0.0820918306708335,0.0820918306708335,0.0,0.0,0.0
0.4998,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0817621201276779,0.0817621201276779,0.0811416975981865,0.0006204225294914,0.0006204225294914,0.006821,0,0.0,0.001542648815201,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.084925390779972,0.0811416975981865,0.0794842838381102,0.0817621201276779,0.0814324095845223,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.6452887191133134,0.17719934565710746,0.17751193522957906,False,0.08129935250727716,0.0817621201276779,0.0817621201276779,0.0,0.0,0.0
0.59976,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.084925390779972,0.084925390779972,0.0868056685512121,-0.0018802777712401,0.0018802777712401,0.006821,0,0.0,0.0015908815232066,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0827567875385284,0.0868056685512121,0.0864186030054374,0.084925390779972,0.088088661432266,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.6807441469853458,0.1594842490986428,0.1597716039160114,False,0.08566845553689847,0.084925390779972,0.084925390779972,0.0,0.0,0.0
0.69972,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0827567875385284,0.0827567875385284,0.0814775977406312,0.0012791897978972,0.0012791897978972,0.006821,0,0.0,0.0015519200575429,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0789854303002357,0.0814775977406312,0.0817823466526513,0.0827567875385284,0.0805881842970848,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.7126555311363385,0.14354020280441102,0.14380426605925045,False,0.0823053770330376,0.0827567875385284,0.0827567875385284,0.0,0.0,0.0
0.800513,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0789854303002357,0.0789854303002357,0.0769023451193254,0.0020830851809103,0.0020830851809103,0.006821,0,0.0,0.0016109384045837,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0745196267962455,0.0769023451193254,0.077998397491416,0.0789854303002357,0.075214073061943,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.741377265591071,0.12918994054283386,0.12943279386609524,False,0.07837045446877186,0.0789854303002357,0.0789854303002357,0.0,0.0,0.0
0.900473,baseline_03_forward_motion,Roll,pulse,0.054568,0,0.0745196267962455,0.0745196267962455,0.071596870894788,0.0029227559014575,0.0029227559014575,0.006821,0,0.0,0.0017421201542711,0,0,0,W10_N3_mean1x,10,3,1.0,909,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_03_forward_motion_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.0806951746344566,0.071596870894788,0.0710703560489337,0.0745196267962455,0.0700538232922553,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_03_forward_motion_ATT_trained_hybrid_prediction_outputs.csv,0.7672294796940612,0.11627416447715452,0.11649635582878436,False,0.07359854175277125,0.0745196267962455,0.0745196267962455,0.0,0.0,0.0
