x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
0.0,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0717598348855972,0.0717598348855972,0.0713804740874739,0.0003793607981232988,0.0003793607981232988,0.006861,0,0.0,0.0003793607981232988,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.09996,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0736921727657318,0.0736921727657318,0.0762925970899223,-0.002600424324190498,0.002600424324190498,0.006861,0,0.0,0.0014898925611568983,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.19992,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0740283578634262,0.0740283578634262,0.073969418064377,5.8939799049195774e-05,5.8939799049195774e-05,0.006861,0,0.0,0.0010129083071209976,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.29988,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0769876167178154,0.0769876167178154,0.0792760910716181,-0.002288474353802694,0.002288474353802694,0.006861,0,0.0,0.0013317998187914216,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.39984,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0814008489251136,0.0814008489251136,0.0853960816586974,-0.003995232733583806,0.003995232733583806,0.006861,0,0.0,0.0018644864017498986,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.4998,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0863361805677414,0.0863361805677414,0.0891847911864811,-0.0028486106187397,0.0028486106187397,0.006861,0,0.0,0.002028507104581532,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.59976,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0874310955405235,0.0874310955405235,0.0882408849651272,-0.0008097894246037046,0.0008097894246037046,0.006861,0,0.0,0.0018544045788704139,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.69972,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0894426181912422,0.0894426181912422,0.0914041599439509,-0.001961541752708698,0.001961541752708698,0.006861,0,0.0,0.0018677967256001994,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.79968,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0899979323148727,0.0899979323148727,0.0913584522742586,-0.0013605199593858947,0.0013605199593858947,0.006861,0,0.0,0.0018114326404652767,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
0.89964,baseline_02_high_altitude_hover,Roll,pulse,0.054888,0,0.0896209478378295,0.0896209478378295,0.0907691260481246,-0.0011481782102950866,0.0011481782102950866,0.006861,0,0.0,0.0017451071974482577,0,0,0,W20_N5_mean1x,20,5,1.0,1127,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_02_high_altitude_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv
