x,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,Baseline,AttackAxis,AttackType,WindowRule,PredictionFile,PredictionColumn
0.09996,0,354.5608215332031,354.5608215332031,352.62571868896487,1.9351028442382585,1.9351028442382585,0.010773,1,1.0,1.9351028442382585,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.19992,0,354.5590209960937,354.5590209960937,352.6229431152344,1.9360778808592727,1.9360778808592727,0.010773,1,2.0,1.9355903625487656,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.29988,0,354.5574951171875,354.5574951171875,352.6166122436524,1.940882873535088,1.940882873535088,0.010773,1,3.0,1.9373545328775397,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.39984,0,354.55596923828125,354.55596923828125,352.6141555786133,1.9418136596679574,1.9418136596679574,0.010773,1,4.0,1.9384693145751442,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.4998,0,354.5542907714844,354.5542907714844,352.6172515869141,1.937039184570267,1.937039184570267,0.010773,1,5.0,1.9381832885741688,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.59976,0,354.5528259277344,354.5528259277344,352.62265930175784,1.9301666259765398,1.9301666259765398,0.010773,1,6.0,1.9368471781412306,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.69972,0,354.55145263671875,354.55145263671875,352.6239608764648,1.927491760253929,1.927491760253929,0.010773,1,7.0,1.9355106898716161,0,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.79968,0,354.5497131347656,354.5497131347656,352.621127319336,1.928585815429642,1.928585815429642,0.010773,1,8.0,1.9346450805663693,1,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.89964,0,354.54815673828125,354.54815673828125,352.6191818237305,1.9289749145507358,1.9289749145507358,0.010773,1,9.0,1.9340150621201877,1,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
0.9996,0,354.5467529296875,354.5467529296875,352.61965484619145,1.9270980834960483,1.9270980834960483,0.010773,1,10.0,1.9333233642577738,1,1,1,baseline_02_high_altitude_hover,Yaw,pulse,W30_N8_mean1.25x,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_02_high_altitude_hover_ATT_trained_hybrid_prediction_outputs.csv,Yaw_hybrid_prediction
